         1941071 function calls (1817527 primitive calls) in 143.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.095    0.095    0.095    0.095 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\datasets.py:199(new_video)
      300    0.093    0.000    3.553    0.012 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:111(forward)
    21000    0.092    0.000   27.635    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:422(forward)
      900    0.079    0.000    0.079    0.000 {method 'contiguous' of 'torch._C._TensorBase' objects}
    15300    0.078    0.000   10.414    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:1719(silu)
   277939    0.076    0.000    0.076    0.000 {method 'values' of 'collections.OrderedDict' objects}
      102    0.073    0.001    0.073    0.001 {method 'uniform_' of 'torch._C._TensorBase' objects}
      299    0.069    0.000    0.214    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\general.py:340(non_max_suppression)
       95    0.068    0.001   34.567    0.364 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\im_sim.py:234(new_im)
     2466    0.063    0.000    0.063    0.000 {method 'write' of '_io.BufferedRandom' objects}
      432    0.060    0.000    0.060    0.000 {built-in method nt.stat}
        1    0.060    0.060    0.060    0.060 {built-in method torch._C._cuda_getDeviceCount}
     1656    0.056    0.000    0.056    0.000 {built-in method zlib.crc32}
    15300    0.052    0.000   10.466    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\activation.py:393(forward)
      102    0.052    0.001    0.052    0.001 {built-in method mm}
      192    0.049    0.000    0.049    0.000 {rectangle}
168607/166129    0.045    0.000    0.050    0.000 {built-in method builtins.len}
      491    0.044    0.000    0.044    0.000 {method 'gt' of 'torch._C._TensorBase' objects}
      192    0.040    0.000    0.043    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\general.py:208(xyxy2xywh)
     2400    0.040    0.000    0.689    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\batchnorm.py:97(forward)
     1059    0.037    0.000    0.037    0.000 {built-in method tensor}
   9672/1    0.035    0.000    0.537    0.537 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\copy.py:128(deepcopy)
        1    0.034    0.034    0.034    0.034 {method 'release' of 'cv2.VideoCapture' objects}
      480    0.030    0.000    0.030    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
     2400    0.028    0.000    0.620    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:2040(batch_norm)
     2484    0.027    0.000    0.027    0.000 {method 'view' of 'torch._C._TensorBase' objects}
       97    0.027    0.000    0.029    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\general.py:218(xywh2xyxy)
      299    0.027    0.000    0.370    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\datasets.py:797(letterbox)
9467/7892    0.026    0.000    0.079    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:509(init)
      299    0.026    0.000    0.026    0.000 {copyMakeBorder}
       95    0.025    0.000    0.025    0.000 {built-in method torch._ops.torchvision.nms}
        9    0.024    0.003    2.189    0.243 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\keras_preprocessing\image\utils.py:79(load_img)
       19    0.024    0.001    0.024    0.001 {built-in method io.open_code}
       95    0.024    0.000    0.036    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\general.py:238(scale_coords)
    96236    0.022    0.000    0.039    0.000 {built-in method builtins.isinstance}
     2400    0.020    0.000   12.239    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\container.py:115(forward)
       28    0.020    0.001    0.020    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextAddFunction}
      336    0.019    0.000    0.019    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_FinishOperation}
       51    0.018    0.000    0.237    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\torch_utils.py:172(fuse_conv_and_bn)
      192    0.018    0.000    0.018    0.000 {putText}
      192    0.018    0.000    0.092    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\plots.py:57(plot_one_box)
3088/1338    0.017    0.000    0.018    0.000 {built-in method _abc._abc_subclasscheck}
       60    0.016    0.000    0.016    0.000 {method 'write' of '_io.BufferedWriter' objects}
       51    0.015    0.000    0.015    0.000 {method 'readinto' of '_io.BufferedReader' objects}
      824    0.015    0.000    0.036    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\obj_tracker.py:98(distance)
      885    0.015    0.000    0.015    0.000 {built-in method zeros}
      600    0.015    0.000    0.362    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:2975(interpolate)
      778    0.014    0.000    0.014    0.000 {method 'unbind' of 'torch._C._TensorBase' objects}
    72489    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
      102    0.014    0.000    0.014    0.000 {built-in method sqrt}
        1    0.014    0.014    0.182    0.182 {method 'load' of '_pickle.Unpickler' objects}
      379    0.014    0.000    0.014    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationGetAttrValueProto}
21669/21647    0.014    0.000    0.021    0.000 {built-in method builtins.hasattr}
     2482    0.013    0.000    0.018    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:781(__setattr__)
  183/168    0.013    0.000    0.261    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\op_def_library.py:299(_apply_op_helper)
      300    0.013    0.000   14.487    0.048 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\datasets.py:160(__next__)
     2400    0.012    0.000    1.151    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:1292(leaky_relu)
     1794    0.012    0.000    0.012    0.000 {built-in method builtins.round}
4440/2467    0.012    0.000    0.052    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1318(MergeFrom)
      300    0.012    0.000    6.298    0.021 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:99(forward)
    31167    0.011    0.000    0.447    0.000 {built-in method builtins.getattr}
      900    0.011    0.000    0.011    0.000 {method 'permute' of 'torch._C._TensorBase' objects}
      299    0.011    0.000    0.011    0.000 {built-in method from_numpy}
 3044/167    0.011    0.000    0.101    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1161(InternalParse)
4382/1311    0.010    0.000    0.064    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1064(ByteSize)
     1307    0.010    0.000    0.010    0.000 {method 'to' of 'torch._C._TensorBase' objects}
        2    0.010    0.005    0.010    0.005 {method 'max' of 'torch._C._TensorBase' objects}
       28    0.010    0.000    0.010    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_GraphToFunction_wrapper}
        1    0.010    0.010    0.010    0.010 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\serialization.py:241(__init__)
     2400    0.009    0.000    1.160    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\activation.py:713(forward)
        1    0.009    0.009    0.009    0.009 {built-in method torch._C._jit_get_operation}
    10763    0.009    0.000    0.016    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1497(__init__)
      985    0.009    0.000    0.009    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1203    0.009    0.000    0.016    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:63(parse_parts)
     2457    0.009    0.000    0.009    0.000 {method 'read' of '_io.BytesIO' objects}
    26693    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
      300    0.008    0.000    0.017    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\progress\bar.py:32(update)
   334/52    0.008    0.000    0.066    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:357(_apply)
      586    0.008    0.000    0.063    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\tensor.py:21(wrapped)
      408    0.008    0.000    0.008    0.000 {method 'set_' of 'torch._C._TensorBase' objects}
      299    0.008    0.000    0.008    0.000 {method 'unsqueeze' of 'torch._C._TensorBase' objects}
      336    0.008    0.000    0.166    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:1839(__init__)
    21275    0.008    0.000    0.010    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:699(getter)
    22224    0.008    0.000    0.008    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\_jit_internal.py:750(is_scripting)
     2700    0.008    0.000    0.011    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\container.py:107(__iter__)
   2321/2    0.008    0.000    0.537    0.269 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\copy.py:257(_reconstruct)
    22458    0.007    0.000    0.013    0.000 {method 'items' of 'dict' objects}
       29    0.007    0.000    0.007    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewGraph}
      380    0.007    0.000    0.007    0.000 {method 'clamp_' of 'torch._C._TensorBase' objects}
14098/11208    0.007    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1452(Modified)
     3523    0.007    0.000    0.028    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:461(MakeSubMessageDefault)
        1    0.007    0.007    0.007    0.007 {built-in method _winapi.CreateProcess}
       91    0.007    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\thop\vision\basic_hooks.py:11(count_parameters)
   232/10    0.007    0.000    0.021    0.002 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_parse.py:493(_parse)
     5863    0.007    0.000    0.007    0.000 {method 'dim' of 'torch._C._TensorBase' objects}
      778    0.007    0.000    0.023    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\tensor.py:576(__iter__)
       17    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
      397    0.006    0.000    0.006    0.000 {built-in method tensorflow.python._tf_stack.extract_stack}
      102    0.006    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\init.py:271(_calculate_fan_in_and_fan_out)
    234/1    0.006    0.000    0.537    0.537 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\copy.py:225(_deepcopy_dict)
  1590/68    0.006    0.000    0.033    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\ast.py:430(generic_visit)
     2400    0.006    0.000    0.010    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\batchnorm.py:279(_check_input_dim)
      174    0.006    0.000    0.093    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\constant_op.py:267(_constant_impl)
      819    0.006    0.000    0.129    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\PngImagePlugin.py:729(putchunk)
       95    0.006    0.000    0.006    0.000 {method 'sum' of 'torch._C._TensorBase' objects}
     1203    0.006    0.000    0.024    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:651(_parse_args)
        9    0.006    0.001    0.201    0.022 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:2644(fromarray)
       19    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
      901    0.006    0.000    0.010    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\container.py:150(_get_abs_string_index)
     4144    0.006    0.000    0.017    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:832(ListFields)
7195/1455    0.006    0.000    0.006    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:1222(named_modules)
     2926    0.006    0.000    0.017    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\containers.py:575(__getitem__)
     5838    0.006    0.000    0.006    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:122(DecodeVarint)
        1    0.006    0.006    0.193    0.193 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\torch_utils.py:54(select_device)
       95    0.006    0.000    0.006    0.000 {method 'round' of 'torch._C._TensorBase' objects}
        1    0.005    0.005    0.005    0.005 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\logging\__init__.py:1360(_clear_cache)
     5578    0.005    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:174(ReadTag)
     5048    0.005    0.000    0.008    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\type_checkers.py:206(CheckValue)
       15    0.005    0.000    0.005    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_ContextRemoveFunction}
      299    0.005    0.000    0.028    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\progress\__init__.py:116(next)
      336    0.005    0.000    0.061    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:1764(_create_c_op)
    10889    0.005    0.000    0.006    0.000 {built-in method _weakref.proxy}
      102    0.005    0.000    0.005    0.000 {method 'copy_' of 'torch._C._TensorBase' objects}
       95    0.005    0.000    0.005    0.000 {built-in method _unique2}
      900    0.005    0.000    4.937    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\pooling.py:152(forward)
        9    0.005    0.001   27.969    3.108 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\ImageFile.py:474(_save)
        9    0.005    0.001    0.005    0.001 {method 'resize' of 'ImagingCore' objects}
      600    0.005    0.000    0.366    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\upsampling.py:140(forward)
       70    0.005    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\thop\vision\basic_hooks.py:22(count_convNd)
      300    0.005    0.000   50.035    0.167 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:101(forward)
     2067    0.004    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:606(as_dtype)
       51    0.004    0.000    0.004    0.000 {built-in method diag}
    295/7    0.004    0.000    0.009    0.001 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\sre_compile.py:71(_compile)
     2400    0.004    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\backends\__init__.py:31(__get__)
     5163    0.004    0.000    0.004    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_OperationOpType}
        9    0.004    0.000    2.080    0.231 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\PIL\Image.py:1786(resize)
       95    0.004    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils\general.py:254(clip_coords)
    18177    0.004    0.000    0.004    0.000 {built-in method builtins.id}
 1425/786    0.004    0.000    0.018    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1110(InternalSerialize)
       95    0.004    0.000    0.004    0.000 {method 'eq' of 'torch._C._TensorBase' objects}
      689    0.004    0.000    0.004    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_SetAttrValueProto}
      336    0.004    0.000    0.218    0.001 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\ops.py:3418(_create_op_internal)
      901    0.004    0.000    0.015    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\container.py:159(__getitem__)
      192    0.004    0.000    0.004    0.000 {getTextSize}
      293    0.004    0.000    0.004    0.000 {built-in method _has_compatible_shallow_copy_type}
      433    0.004    0.000    0.004    0.000 {built-in method _make_subclass}
        1    0.004    0.004    0.899    0.899 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:163(fuse)
      900    0.004    0.000    4.929    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\functional.py:574(_max_pool2d)
     3079    0.004    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\copy.py:241(_keep_alive)
       51    0.004    0.000    0.004    0.000 {built-in method torch._C._nn.silu}
      299    0.004    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\progress\__init__.py:71(update_avg)
     5096    0.004    0.000    0.233    0.000 {built-in method builtins.iter}
 1090/995    0.004    0.000    4.939    0.005 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\_jit_internal.py:257(fn)
  1007/22    0.004    0.000    0.038    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\autograph\pyct\transformer.py:421(visit)
     1205    0.004    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:145(splitroot)
  398/360    0.004    0.000    0.069    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:875(DecodeMap)
2738/2588    0.004    0.000    0.011    0.000 {built-in method builtins.any}
       90    0.004    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\constant_op.py:70(convert_to_eager_tensor)
     2840    0.004    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\module.py:1175(named_children)
     9929    0.004    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:1516(Modified)
     1500    0.003    0.000    0.003    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\yolo.py:125(<listcomp>)
     1200    0.003    0.000    0.362    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:150(forward)
     5384    0.003    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:817(_IsPresent)
        7    0.003    0.000    0.034    0.005 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\shutil.py:175(_copyfileobj_readinto)
      299    0.003    0.000    0.053    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\utils_obj\im_sim.py:227(info)
     1046    0.003    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\tensor.py:596(__hash__)
     2287    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     1836    0.003    0.000    0.010    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\overrides.py:1073(has_torch_function)
     1918    0.003    0.000    0.003    0.000 {method 'match' of 're.Pattern' objects}
     4163    0.003    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\overrides.py:1086(<genexpr>)
      273    0.003    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\util\tf_decorator.py:67(make_decorator)
      898    0.003    0.000    0.016    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:705(_make_child)
      300    0.003    0.000    4.956    0.017 C:\Users\Giulia Ciaramella\PycharmProjects\yolov5\models\common.py:101(<listcomp>)
 1364/946    0.003    0.000    0.039    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\decoder.py:744(DecodeField)
     2065    0.003    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\contextlib.py:82(__init__)
       95    0.003    0.000    0.003    0.000 {method 'flip' of 'torch._C._TensorBase' objects}
     2321    0.003    0.000    0.006    0.000 {method '__reduce_ex__' of 'object' objects}
      336    0.003    0.000    0.003    0.000 {built-in method tensorflow.python._pywrap_tf_session.TF_NewOperation}
  2317/48    0.003    0.000    0.052    0.001 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\ast.py:356(visit)
      376    0.003    0.000    0.033    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\_utils.py:136(_rebuild_tensor_v2)
       51    0.003    0.000    0.096    0.002 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\torch\nn\modules\conv.py:37(__init__)
     7099    0.003    0.000    0.010    0.000 {built-in method builtins.setattr}
      865    0.003    0.000    0.012    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\numpy\core\fromnumeric.py:73(_wrapreduction)
       12    0.003    0.000    0.003    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      120    0.003    0.000    0.005    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\numpy\core\_methods.py:134(_mean)
      853    0.003    0.000    0.003    0.000 {method 'item' of 'torch._C._TensorBase' objects}
      908    0.003    0.000    0.004    0.000 C:\Users\Giulia Ciaramella\AppData\Local\Programs\Python\Python38\lib\pathlib.py:711(__str__)
     1404    0.003    0.000    0.005    0.000 {built-in method tensorflow.python._pywrap_utils.Flatten}
      472    0.003    0.000    0.003    0.000 {method 'is_floating_point' of 'torch._C._TensorBase' objects}
      422    0.003    0.000    0.015    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\tensorflow\python\framework\func_graph.py:365(inner_cm)
     4144    0.003    0.000    0.007    0.000 C:\Users\Giulia Ciaramella\PycharmProjects\video_fragmentation\venv\lib\site-packages\google\protobuf\internal\python_message.py:833(<listcomp>)
